title,date,category
The Deformation Space of Geodesic Triangulations and Generalized Tutte's Embedding Theorem,2021-05-03 02:58:06+00:00,math.GT
Genus three embedded doubly periodic minimal surfaces with parallel ends,2021-05-22 12:26:42+00:00,math.DG
Ricci flow starting from an embedded closed convex surface in $\mathbb{R}^3$,2021-06-28 14:51:45+00:00,math.DG
A Note on Hyperbolically Embedded Subgroups,2021-06-29 15:26:28+00:00,math.GR
Visualising Argumentation Graphs with Graph Embeddings and t-SNE,2021-07-01 15:13:24+00:00,cs.AI
Position-based Hash Embeddings For Scaling Graph Neural Networks,2021-08-31 22:42:25+00:00,cs.LG
Minimal hypertori in the four-dimensional sphere,2021-09-24 06:52:35+00:00,math.DG
Metabelian Lie and perm algebras,2021-10-12 14:29:09+00:00,math.RA
Embedding of rank two supercharges in the superconformal algebra,2021-10-13 16:13:09+00:00,hep-th
Embedding Deligne-Mumford stacks into GIT quotient stacks of linear representations,2021-11-01 16:30:00+00:00,math.AG
Extendable periodic automorphisms of closed surfaces over the 3-sphere,2021-11-12 02:40:34+00:00,math.GT
Smooth distributions on subcartesian spaces are globally finitely generated,2021-11-17 00:37:18+00:00,math.DG
Fiber products of rank 1 superrigid lattices and quasi-isometric embeddings,2021-11-23 00:09:53+00:00,math.GR
Deep residential representations: Using unsupervised learning to unlock elevation data for geo-demographic prediction,2021-12-02 17:10:52+00:00,cs.LG
Finite subunitals of the Hermitian unitals,2022-01-07 22:46:01+00:00,math.CO
Disentangled Graph Neural Networks for Session-based Recommendation,2022-01-10 17:26:18+00:00,cs.IR
Progressively Optimized Bi-Granular Document Representation for Scalable Embedding Based Retrieval,2022-01-14 12:02:47+00:00,cs.IR
Mean Convex Smoothing of Mean Convex Cones,2022-02-16 04:19:09+00:00,math.DG
Cosmic acceleration in Regge-Teitelboim gravity,2022-02-18 22:19:35+00:00,gr-qc
CR embeddings of CR manifolds,2022-04-03 22:49:58+00:00,math.CV
Permutation-bipartition pairs,2022-04-09 02:15:33+00:00,math.CO
Crossings in Randomly Embedded Graphs,2022-05-09 01:41:28+00:00,math.CO
Capacity of rings and mappings generate embeddings of Sobolev spaces,2022-04-27 09:59:01+00:00,math.CA
Constructions of homotopy 4-spheres by pochette surgery,2022-05-11 02:38:29+00:00,math.GT
NECA: Network-Embedded Deep Representation Learning for Categorical Data,2022-05-25 13:01:12+00:00,cs.LG
On Cohen's theorem for Artinian modules,2022-05-31 07:58:34+00:00,math.AC
Indecomposable characters on direct limit of symmetric groups with diagonal embeddings,2022-06-04 11:09:54+00:00,math.RT
On neighborhoods of embedded complex tori,2022-06-14 13:34:48+00:00,math.AG
Contrastive Adapters for Foundation Model Group Robustness,2022-07-14 19:40:55+00:00,cs.LG
Stability of concordance embeddings,2022-07-26 23:49:32+00:00,math.AT
The structure of subspaces in Orlicz spaces between $L^1$ and $L^2$,2022-08-15 14:20:01+00:00,math.FA
Combating Mode Collapse in GANs via Manifold Entropy Estimation,2022-08-25 12:33:31+00:00,cs.CV
Embedding theorems for quantizable pseudo-Kähler manifolds,2022-09-21 11:17:34+00:00,math.DG
Classification of tangent and transverse knots in bracket-generating distributions,2022-10-02 17:44:40+00:00,math.DG
Any Sasakian structure is approximated by embeddings into spheres,2022-10-03 09:56:44+00:00,math.DG
Remarks on the diagonal embedding and strong 1-boundedness,2022-10-07 19:09:24+00:00,math.OA
CR embeddings of nilpotent Lie groups,2022-10-14 04:54:26+00:00,math.CV
On K3 fibred Calabi-Yau threefolds in weighted scrolls,2022-10-19 13:59:05+00:00,math.AG
Group Embedding into Wreath Products: Cartesian Decomposition Approach,2022-11-01 12:22:34+00:00,math.GR
"The Expected Embedding Dimension, type and weight of a Numerical Semigroup",2022-11-15 00:33:21+00:00,math.CO
Conjugacy of free mappings embedded in a flow,2022-11-15 22:50:48+00:00,math.DS
Parsimonious cones,2022-11-26 22:28:47+00:00,math.GT
Tag Embedding and Well-defined Intermediate Representation improve Auto-Formulation of Problem Description,2022-12-07 11:23:43+00:00,cs.CL
Critical points of arbitrary energy for the Trudinger-Moser embedding in planar domains,2022-12-20 14:52:38+00:00,math.AP
Mixed objects are embedded into log pure objects,2022-12-21 12:16:45+00:00,math.AG
On the Existence of Symplectic Barriers,2023-01-04 21:07:16+00:00,math.SG
Index of minimal hypersurfaces in real projective spaces,2023-01-07 20:30:02+00:00,math.DG
Clustered Embedding Learning for Recommender Systems,2023-02-03 01:20:49+00:00,cs.AI
FrameBERT: Conceptual Metaphor Detection with Frame Embedding Learning,2023-02-09 18:41:04+00:00,cs.CL
Binary Embedding-based Retrieval at Tencent,2023-02-17 06:10:02+00:00,cs.IR
"Extension and embedding theorems for Campanato spaces on $C^{0,γ}$ domains",2023-02-23 13:13:20+00:00,math.FA
A linear bound for the Colin de Verdière parameter $μ$ for graphs embedded on surfaces,2023-03-01 14:56:46+00:00,math.CO
Diversity Embeddings and the Hypergraph Sparsest Cut,2023-03-07 19:37:51+00:00,cs.DS
Lorentzian manifolds properly isometrically embeddable in Minkowski spacetime,2023-03-10 14:23:46+00:00,gr-qc
Equilibrium Distributions for t-distributed Stochastic Neighbour Embedding,2023-04-07 16:45:53+00:00,math.PR
First eigenvalue of embedded minimal surfaces in $S^3$,2023-04-13 13:22:36+00:00,math.DG
PoseVocab: Learning Joint-structured Pose Embeddings for Human Avatar Modeling,2023-04-25 17:25:36+00:00,cs.CV
Segre embedding and biharmonicity,2023-04-30 06:51:15+00:00,math.DG
Towards Stratified Space Learning: 2-complexes,2023-05-04 10:44:24+00:00,cs.CG
On vector valued de Branges spaces: Factorization and Isometric Embedding,2023-05-04 17:25:59+00:00,math.FA
An Application of a Log Version of the Kodaira Vanishing Theorem to Embedded Projective Varieties,1997-07-01 04:41:31+00:00,alg-geom
Infrared emission from interstellar dust cloud with two embedded sources: IRAS 19181+1349,1999-08-30 09:27:54+00:00,astro-ph
A Catalogue of infrared star clusters and stellar groups,2002-10-14 18:00:09+00:00,astro-ph
Shearing and embedding box simulations of the magnetorotational instability,2004-12-15 17:27:17+00:00,astro-ph
Nuclear embedded star clusters in NGC 7582,2006-03-23 13:58:51+00:00,astro-ph
Evaporation and Thermal Balance of Tiny HI Clouds,2006-10-10 13:17:51+00:00,astro-ph
Extension Language Automation of Embedded System Debugging,2000-11-06 23:16:22+00:00,cs.SE
Maximum gradient embeddings and monotone clustering,2006-06-26 19:32:29+00:00,cs.DS
Choosing Colors for Geometric Graphs via Color Space Embeddings,2006-09-07 20:39:19+00:00,cs.CG
Spacetime Embedding Diagrams for Black Holes,1998-06-30 23:55:41+00:00,gr-qc
Isometric embeddings of black hole horizons in three-dimensional flat space,2001-09-28 08:25:45+00:00,gr-qc
Harmonic maps and isometric embeddings of the spacetime,2003-12-03 17:34:41+00:00,gr-qc
Loop quantization from a lattice gauge theory perspective,2004-01-27 20:24:14+00:00,gr-qc
Classical Gravitation as free Membrane Dynamics,2005-09-22 12:12:10+00:00,gr-qc
Existence and Stability of Spinning Embedded Vortices,1994-06-07 20:38:16+00:00,hep-ph
Embedded Vortices,1995-07-31 14:28:38+00:00,hep-ph
Examples of Embedded Defects (in Particle Physics and Condensed Matter),1995-07-31 14:33:36+00:00,hep-ph
Inflationary Initial Conditions Consistent with Causality,2000-10-24 21:36:17+00:00,hep-ph
Soft diffraction dissociation,2003-05-22 09:38:43+00:00,hep-ph
Electroweak Baryogenesis with Embedded Domain Walls,2005-03-22 06:29:04+00:00,hep-ph
Kertesz line and embedded monopoles in QCD,2005-09-05 12:22:10+00:00,hep-ph
Super--Lax Operator Embedded in Self--Dual Supersymmetric Yang--Mills Theory,1993-11-01 19:44:27+00:00,hep-th
On the Classification of Real Forms of Non-Abelian Toda Theories and W-algebras,1998-02-27 19:29:19+00:00,hep-th
"Scale, Gauge Couplings, Soft Terms and Toy Compactification in M-theory on $S^1/Z_2$",1999-08-02 17:10:02+00:00,hep-th
Scales of Gaugino Condensation and Supersymmetry Breaking in Nonstandard M-Theory Embeddings,1999-08-21 18:37:22+00:00,hep-th
"Consistent Warped-Space Kaluza-Klein Reductions, Half-Maximal Gauged Supergravities and CP^n Constructions",2000-07-14 11:01:26+00:00,hep-th
Geometry of Brane-Worlds,2001-10-09 17:52:12+00:00,hep-th
Z_3 orbifolds of the SO(32) heterotic string: 1 Wilson line embeddings,2003-01-28 22:54:04+00:00,hep-th
Complete global embedding structures of various black holes,2003-10-24 01:31:19+00:00,hep-th
Global embedding of D-dimensional black holes with a cosmological constant in Minkowskian spacetimes: Matching between Hawking temperature and Unruh temperature,2004-12-07 19:57:32+00:00,hep-th
D7 Brane Embeddings and Chiral Symmetry Breaking,2005-02-09 10:21:57+00:00,hep-th
The Abelian Embedding Formulation of the Stueckelberg Model and its Power-counting Renormalizable Extension,2006-01-23 08:14:11+00:00,hep-th
"Orientifolds, hypercharge embeddings and the Standard Model",2006-05-23 08:29:31+00:00,hep-th
Gauged Supergravities in Various Spacetime Dimensions,2007-02-12 04:12:15+00:00,hep-th
"Uniform embeddings, homeomorphisms and quotient maps between Banach spaces (A short survey)",1997-02-05 00:00:00+00:00,math.FA
Gap Forcing,1998-08-04 05:54:00+00:00,math.LO
Immersed and virtually embedded pi_1-injective surfaces in graph manifolds,1999-01-21 02:20:56+00:00,math.GT
A Natural Framing for Asymptotically Flat Integral Homology 3-Sphere,1999-03-12 08:48:42+00:00,math.GT
Embedding of regular tilings and star-honeycomb,1999-06-10 08:30:30+00:00,math.MG
Rational convexity of lagrangian immersed submanifolds,1999-08-20 12:58:13+00:00,math.CV
Simple birational extensions of the polynomial ring $\C^{[3]}$,2001-04-20 19:33:14+00:00,math.AG
There is no universal countable random-free graph,2001-06-13 08:44:53+00:00,math.CO
On embeddings of full amalgamated free product C*-algebras,2002-10-29 19:16:45+00:00,math.OA
Quasi-hyperbolic planes in hyperbolic groups,2003-01-23 20:19:11+00:00,math.GR
Embeddings of graph braid and surface groups in right-angled Artin groups and braid groups,2003-03-18 11:36:39+00:00,math.GR
Markov Chain Sampling for Non-linear State Space Models Using Embedded Hidden Markov Models,2003-05-01 18:25:06+00:00,math.PR
Toric embedded resolutions of quasi-ordinary hypersurface singularities,2003-06-18 14:51:41+00:00,math.AG
Area Inequalities for Embedded Disks Spanning Unknotted Curves,2003-06-21 05:05:26+00:00,math.DG
Planar Minimally Rigid Graphs and Pseudo-Triangulations,2003-07-25 23:04:04+00:00,math.CO
Innately transitive subgroups of wreath products in product action,2003-12-18 09:29:29+00:00,math.GR
The structure of algebraic covariant derivative curvature tensors,2004-04-03 23:25:29+00:00,math.DG
Taut representations of compact simple Lie groups,2004-04-14 17:22:57+00:00,math.DG
Small curvature surfaces in hyperbolic 3-manifolds,2004-09-23 15:55:22+00:00,math.GT
Embedded spheres in S^2\times S^1#...#S^2\times S^1,2004-10-04 08:24:27+00:00,math.GT
Embedding operators and boundary-value problems for rough domains,2004-11-08 20:52:29+00:00,math.AP
Radial Time-Frequency Analysis and Embeddings of Radial Modulation Spaces,2005-02-10 17:08:00+00:00,math.FA
Algebraic models of Poincare embeddings,2005-03-25 15:47:00+00:00,math.AT
On embeddings of homogeneous spaces with small boundary,2005-07-27 10:48:03+00:00,math.AG
Necessary and sufficient condition for compactness of the embedding operator,2005-09-19 17:40:27+00:00,math.FA
A new invariant and parametric connected sum of embeddings,2005-09-27 07:42:45+00:00,math.GT
Plongement stochastique des systèmes lagrangiens,2005-10-30 16:02:00+00:00,math.PR
"Monoids, Embedding Functors and Quantum Groups",2006-04-04 09:48:21+00:00,math.QA
Moebius bands with a quasipositive fibred hole,2006-05-30 08:58:24+00:00,math.GT
A characterization of the Tutte polynomial via combinatorial embeddings,2006-08-02 14:11:25+00:00,math.CO
Classes of Skorokhod Embeddings for the Simple Symmetric Random Walk,2006-09-12 14:22:52+00:00,math.PR
A theorem of Hrushovski-Solecki-Vershik applied to uniform and coarse embeddings of the Urysohn metric space,2007-02-08 01:16:45+00:00,math.MG
A proof of the Lawson conjecture for minimal tori embedded in $\S3$,2007-03-05 20:39:59+00:00,math.DG
Recursive Fermion System in Cuntz Algebra.I -- Embeddings of Fermion Algebra into Cuntz Algebra ---,2001-10-01 11:46:30+00:00,math-ph
Null electromagnetic fields and relative CR embeddings,2001-10-31 19:21:03+00:00,math-ph
Optimal time delay embedding for nonlinear time series modeling,2003-12-05 07:40:24+00:00,nlin.CD
Delay-Coordinates Embeddings as a Data Mining Tool for Denoising Speech Signals,2005-04-21 20:04:49+00:00,physics.data-an
The Image of a Wormhole,2005-05-16 22:11:01+00:00,physics.ed-ph
Architecture for Pseudo Acausal Evolvable Embedded Systems,2007-04-07 13:40:49+00:00,cs.NE
Demazure embeddings are smooth,2007-04-27 15:36:42+00:00,math.AG
Metric Embedding for Nearest Neighbor Classification,2007-06-24 06:50:24+00:00,stat.ML
Time-dependent magnetotransport of a wave packet in a quantum wire with embedded quantum dots,2007-08-01 09:35:24+00:00,cond-mat.mes-hall
Embedding spacetime via a geodesically equivalent metric of Euclidean signature,2007-08-17 15:28:00+00:00,gr-qc
Origin of Ferromagnetism in nitrogen embedded ZnO:N thin films,2007-08-30 01:43:00+00:00,cond-mat.str-el
The contact conductance of a one-dimensional wire partly embedded in a superconductor,2007-09-04 15:18:52+00:00,cond-mat.str-el
Embedded two-photon polymerized features with near-perfect lattice registration within self-organized photonic crystals and their optical properties,2007-10-03 18:04:53+00:00,cond-mat.mtrl-sci
Dimension Reduction for the Hyperbolic Space,2007-10-06 06:18:12+00:00,math.MG
On the Complexity of Spill Everywhere under SSA Form,2007-10-19 07:24:58+00:00,cs.DS
A Note on a Standard Embedding on Half-Flat Manifolds,2007-11-21 19:15:00+00:00,hep-th
A JSJ splitting for triangulated open 3-manifolds,2008-02-11 14:22:42+00:00,math.GT
Optical reference geometry of the Kerr-Newman spacetimes,2008-03-17 21:35:33+00:00,gr-qc
Photon capture cones and embedding diagrams of the Ernst spacetime,2008-03-17 21:44:03+00:00,gr-qc
Asymptotically Optimum Universal One-Bit Watermarking for Gaussian Covertexts and Gaussian Attacks,2008-03-27 10:17:49+00:00,cs.IT
About the embedding of Moufang loops in alternative algebras II,2008-04-13 07:36:31+00:00,math.RA
Structural properties of spatially embedded networks,2008-04-16 11:27:09+00:00,physics.soc-ph
A Novel Approach to Study Highly Correlated Nanostructures: The Logarithmic Discretization Embedded Cluster Approximation,2008-05-14 19:16:37+00:00,cond-mat.str-el
Embedded clusters in NGC1808 central starburst - Near-infrared imaging and spectroscopy,2008-05-28 16:04:57+00:00,astro-ph
Embeddings and chains of free groups,2008-06-08 12:12:30+00:00,math.GR
Embedding quantum and random optics in a larger field theory,2008-06-09 14:44:28+00:00,quant-ph
The doubly periodic Scherk-Costa surfaces,2008-06-26 14:05:53+00:00,math.DG
"Correction to ``Knotted Hamiltonian cycles in spatial embeddings of complete graphs""",2008-07-09 16:13:27+00:00,math.GT
Knotted holomorphic discs in C^2,2008-08-06 08:30:00+00:00,math.CV
On approximability by embeddings of cycles in the plane,2008-08-08 19:25:47+00:00,math.GT
Vertex Operator Algebra Analogue of Embedding $D_8$ into $E_8$,2008-08-11 07:46:54+00:00,math.QA
Homogeneous fractional embeddings,2008-08-13 18:12:45+00:00,math.DS
Positive Legendrian regular homotopies,2008-09-04 12:56:03+00:00,math.GT
State Space Reconstruction for Multivariate Time Series Prediction,2008-09-12 14:03:04+00:00,nlin.CD
Top quark in theory,2008-09-18 13:33:05+00:00,hep-ph
A Non-Standard String Embedding of E8,2008-10-06 18:41:45+00:00,hep-ph
Density-gradient-corrected embedded atom method,2009-01-29 02:28:29+00:00,cond-mat.mes-hall
Reissner exterior and interior,2009-02-05 15:14:41+00:00,physics.gen-ph
Special entangled quantum systems and the Freudenthal construction,2009-02-13 12:09:43+00:00,quant-ph
A note on naturally embedded ternary trees,2009-02-16 09:59:03+00:00,math.CO
Note on half-cube embeddings,2009-03-04 21:36:26+00:00,math.CO
Continuation-Passing Style and Strong Normalisation for Intuitionistic Sequent Calculi,2009-03-10 18:10:52+00:00,cs.LO
Vertex Turán problems in the hypercube,2009-04-09 09:05:34+00:00,math.CO
Weak Continuity of the Gauss-Codazzi-Ricci System for Isometric Embedding,2009-04-23 01:58:17+00:00,math.AP
SMT-Based Bounded Model Checking for Embedded ANSI-C Software,2009-07-12 21:49:21+00:00,cs.SE
Strong embeddings of minimum genus,2009-08-13 17:02:33+00:00,math.CO
On Analytic Solutions of (1+3)D Relativistic Ideal Hydrodynamic Equations,2009-09-11 23:40:47+00:00,nucl-th
Self-Partial and Dynamic Reconfiguration Implementation for AES using FPGA,2009-09-12 21:04:49+00:00,cs.CR
Embedding methods for large-scale surface calculations,2009-09-30 04:56:07+00:00,cond-mat.mtrl-sci
The physics and modes of star cluster formation: observations,2009-11-04 11:07:33+00:00,astro-ph.GA
Digital Image Watermarking for Arbitrarily Shaped Objects Based On SA-DWT,2009-11-04 18:11:30+00:00,cs.GR
Reversible Image Authentication with Tamper Localization Based on Integer Wavelet Transform,2009-12-03 09:11:19+00:00,cs.CR
Toric varieties and spherical embeddings over an arbitrary field,2009-12-03 15:04:00+00:00,math.AG
Positive Definite Distributions and Normed Spaces,2010-01-09 09:54:58+00:00,math.FA
Randomly removing g handles at once,2010-03-07 03:02:33+00:00,cs.CG
Isometric embeddings of Johnson graphs in Grassmann graphs,2010-03-17 09:17:34+00:00,math.CO
The New Embedded System Design Methodology For Improving Design Process Performance,2010-05-06 08:57:02+00:00,cs.OH
A minimal surface with unbounded curvature,2010-06-17 07:33:53+00:00,math.DG
Constant approximation algorithms for embedding graph metrics into trees and outerplanar graphs,2010-07-03 10:20:24+00:00,math.MG
Markov invariants for phylogenetic rate matrices derived from embedded submodels,2010-08-06 06:30:48+00:00,q-bio.QM
"Size, oxidation, and strain in small Si/SiO2 nanocrystals",2010-08-31 10:07:04+00:00,cond-mat.mtrl-sci
Notes on projective normality of reducible curves,2010-09-24 16:08:21+00:00,math.AG
Measure of curves in graded groups,2010-09-27 15:57:37+00:00,math.DG
Block tensors and symmetric embeddings,2010-10-04 21:06:06+00:00,math.NA
Extreme points and embeddings with factorial commutant,2010-10-28 18:07:22+00:00,math.OA
A universal étale lift of a proper local embedding,2010-11-06 23:13:00+00:00,math.AG
Singular polarizations and symplectic embeddings,2010-11-29 20:27:21+00:00,math.SG
Half-space theorems and the embedded Calabi-Yau problem in Lie groups,2010-12-09 12:05:30+00:00,math.DG
Generalized and Resource-Efficient VNet Embeddings with Migrations,2010-12-18 07:48:34+00:00,cs.NI
On embeddings of certain spherical homogeneous spaces in prime characteristic,2011-01-20 15:59:01+00:00,math.AG
Strict Authentication Watermarking with JPEG Compression (SAW-JPEG) for Medical Images,2011-01-27 00:51:26+00:00,cs.CR
Security Embedding Codes,2011-02-07 23:53:52+00:00,cs.IT
Complete addition laws on abelian varieties,2011-02-11 14:03:18+00:00,math.NT
"Embeddings of SL(2,Z) into the Cremona group",2011-03-01 09:36:22+00:00,math.AG
Model based system engineering approach of a lightweight embedded TCP/IP,2011-04-28 13:36:34+00:00,cs.SE
Spatial quadratic solitons guided by narrow layers of a nonlinear material,2011-04-30 17:19:02+00:00,physics.optics
Periodic Euclidean Graphs on Integer Points,2011-05-11 21:48:43+00:00,math.CO
Generalizations of the Kunen Inconsistency,2011-06-10 03:59:57+00:00,math.LO
Embedding smooth and formal diffeomorphisms through the Jordan-Chevalley decomposition,2011-07-19 00:49:20+00:00,math.DS
Determining the Age of Young Embedded Clusters,2011-07-27 12:41:22+00:00,astro-ph.GA
On Embedding Singular Poisson Spaces,2011-08-10 15:47:41+00:00,math.SG
Spherical alterations of handles: embedding the manifold plus construction,2011-08-25 19:41:41+00:00,math.GT
The role of lighter and heavier embedded nanoparticles on the thermal conductivity of SiGe alloys,2011-08-31 07:11:27+00:00,cond-mat.stat-mech
Implementing Explicit and Finding Implicit Sharing in Embedded DSLs,2011-09-05 01:57:14+00:00,cs.PL
"Counting Plane Graphs: Perfect Matchings, Spanning Cycles, and Kasteleyn's Technique",2011-09-26 15:12:14+00:00,cs.DM
Linearized Additive Classifiers,2011-10-05 02:11:38+00:00,cs.CV
Large Scale Spectral Clustering Using Approximate Commute Time Embedding,2011-11-19 08:39:34+00:00,cs.LG
Higher order duality and toric embeddings,2011-11-20 15:56:00+00:00,math.AG
Symplectic embeddings of ellipsoids in dimension greater than four,2011-12-07 01:26:35+00:00,math.SG
Decompositions of factor codes and embeddings between shift spaces with unequal entropies,2012-01-03 17:09:22+00:00,math.DS
Computational Tutorial on Gröbner bases embedding Sage in LaTeX with SageTEX,2012-01-05 14:32:00+00:00,cs.SC
A Classification of Orientable Regular Embeddings of Complete Multipartite Graphs,2012-02-09 13:22:33+00:00,math.CO
Embedding of Analytic Quasi-Periodic Cocycles into Analytic Quasi-Periodic Linear Systems and its Applications,2012-02-14 02:27:11+00:00,math.DS
From one Reeb orbit to two,2012-02-22 07:12:50+00:00,math.SG
Metric Behaviour of the Magnus Embedding,2012-02-23 23:28:49+00:00,math.GR
Characterization of isometric embeddings of Grassmann graphs,2012-03-01 07:29:46+00:00,math.CO
Induced quasi-cocycles on groups with hyperbolically embedded subgroups,2012-03-24 18:27:33+00:00,math.GR
Cross-Sectional Scanning Tunneling Microscopy and Spectroscopy of Semimetallic ErAs Nanostructures Embedded in GaAs,2012-04-12 07:42:50+00:00,cond-mat.mtrl-sci
Remarks on the space of volume preserving embeddings,2012-04-14 09:26:28+00:00,math.DG
On Isomorphisms of Grassmann Spaces,2012-04-14 17:56:16+00:00,math.AG
"Amenability, locally finite spaces, and bi-lipschitz embeddings",2012-05-02 07:56:13+00:00,math.MG
Syzygies and equations of Kummer varieties,2012-05-07 08:01:30+00:00,math.AG
Ground State Spin Logic,2012-05-08 16:49:02+00:00,quant-ph
On the Apery sets of monomial curves,2012-05-18 09:04:55+00:00,math.AC
Influence of Fractal Embedding in Three-Dimensional Euclidean Space on Wave Propagation in Electro- Chromodynamics,2012-06-03 13:38:38+00:00,nucl-th
Embedded $\mathbf{Q}$-Resolutions for Yomdin-Lê Surface Singularities,2012-06-03 15:12:40+00:00,math.AG
Debugging Memory Issues In Embedded Linux: A Case Study,2012-08-02 17:04:05+00:00,cs.SE
Embedding problems of division algebras,2012-08-06 11:16:50+00:00,math.RA
The equivalence of Heegaard Floer homology and embedded contact homology III: from hat to plus,2012-08-07 21:20:09+00:00,math.GT
On Benchmarking Embedded Linux Flash File Systems,2012-08-31 06:32:38+00:00,cs.OS
Extending finite group actions on surfaces over $S^3$,2012-09-06 02:21:37+00:00,math.GT
Momentum spectrometry of spherical harmonics and a probe of geometric embedding effect,2012-09-11 03:22:28+00:00,quant-ph
Hybrid Message-Embedded Cipher Using Logistic Map,2012-09-12 12:16:41+00:00,cs.CR
Proper holomorphic immersions in homotopy classes of maps from finitely connected planar domains into CxC*,2012-09-20 05:31:08+00:00,math.CV
Online Adaptive Fault Tolerant based Feedback Control Scheduling Algorithm for Multiprocessor Embedded Systems,2012-10-10 12:13:30+00:00,cs.SY
Properly embedded minimal annuli in $\mathbb{S}^2 \times \mathbb{R}$,2012-10-22 16:24:34+00:00,math.DG
Adiabatic Quantum Programming: Minor Embedding With Hard Faults,2012-10-31 17:05:50+00:00,quant-ph
Embedding Groups into Distributive Subsets of the Monoid of Binary Operations,2012-10-31 21:17:03+00:00,math.GR
Simplicial isometric embeddings of indefinite metric polyhedra,2012-11-03 00:05:38+00:00,math.MG
On spectral stability of the nonlinear Dirac equation,2012-11-14 15:36:57+00:00,math.AP
Embedding a balanced binary tree on a bounded point set,2013-01-15 20:06:36+00:00,cs.CG
How to Fold a Manifold,2013-01-17 22:16:02+00:00,math.GT
Embedding loop quantum cosmology without piecewise linearity,2013-01-26 05:06:02+00:00,gr-qc
Minimizing properties of critical points of quasi-local energy,2013-02-21 16:16:41+00:00,math.DG
Skorokhod Embeddings via Stochastic Flows on the Space of Measures,2013-03-13 23:55:48+00:00,math.PR
Some remarks on toroidal morphisms,2013-03-20 17:24:21+00:00,math.AG
An immersed $S^2$ self-shrinker,2013-03-29 21:40:49+00:00,math.DG
An Iterated Azéma-Yor Type Embedding for Finitely Many Marginals,2013-04-01 14:44:38+00:00,math.PR
Shape and symmetry of a fluid-supported elastic sheet,2013-04-06 21:47:25+00:00,cond-mat.soft
Symplectic embeddings of polydisks,2013-04-10 19:47:43+00:00,math.SG
Branching laws for tensor modules over classical locally finite Lie algebras,2013-04-30 09:53:40+00:00,math.RT
Persistent Homology of Delay Embeddings,2013-05-16 18:01:32+00:00,math.AT
Direct coupling information measure from non-uniform embedding,2013-05-27 13:08:40+00:00,physics.data-an
Towers of complements to valuation rings and truncation closed embeddings of valued fields,2013-05-27 19:40:42+00:00,math.AC
Discrete gauge symmetries from (closed string) tachyon condensation,2013-05-29 13:15:02+00:00,hep-th
"The GraviGUT Algebra Is not a Subalgebra of $E_8$, but $E_8$ Does Contain an Extended GraviGUT Algebra",2013-05-29 20:46:18+00:00,math.RT
Embedding Quantum Simulators for Quantum Computation of Entanglement,2013-06-03 17:26:51+00:00,quant-ph
Fidelity-Commensurability Tradeoff in Joint Embedding of Disparate Dissimilarities,2013-06-09 03:59:05+00:00,stat.ME
"Finite, integrable and bounded time embeddings for diffusions",2013-06-17 18:00:57+00:00,math.PR
Quantum geometry with a nondegenerate vacuum: a toy model,2013-06-25 16:00:45+00:00,gr-qc
Calculating Hyperfine Couplings in Large Ionic Crystals Containing Hundreds of QM Atoms: Subsystem DFT is the Key,2013-08-14 14:07:50+00:00,physics.chem-ph
Flashmon V2: Monitoring Raw NAND Flash Memory I/O Requests on Embedded Linux,2013-09-06 18:14:04+00:00,cs.OS
Quantum walks on embedded hypercubes,2013-09-20 12:42:22+00:00,quant-ph
Hilbert Space Embeddings of Predictive State Representations,2013-09-26 12:35:19+00:00,cs.LG
Decoherence in quantum cosmology and the cosmological constant,2013-09-27 11:11:45+00:00,gr-qc
Density Matrix Embedding from Broken Symmetry Lattice Mean-Fields,2013-09-30 20:52:58+00:00,cond-mat.str-el
Three-manifold mutations detected by Heegaard Floer homology,2013-10-11 20:15:41+00:00,math.GT
Embedding binary sequences into Bernoulli site percolation on $\mathbb{Z}^3$,2013-10-19 18:59:54+00:00,math.PR
Embed and Conquer: Scalable Embeddings for Kernel k-Means on MapReduce,2013-11-11 02:37:16+00:00,cs.LG
The Las Vergnas Polynomial for embedded graphs,2013-11-15 08:10:58+00:00,math.CO
Diversities and the Geometry of Hypergraphs,2013-12-19 05:08:10+00:00,math.MG
Checkerboard embeddings of *-graphs into nonorientable surfaces,2013-12-22 04:35:06+00:00,math.CO
Embedding Graphs under Centrality Constraints for Network Visualization,2014-01-17 17:16:25+00:00,stat.ML
A Framework for Evaluation of Composite Memento Temporal Coherence,2014-02-05 03:50:33+00:00,cs.DL
Integrability of solutions of the Skorokhod Embedding Problem for Diffusions,2014-03-10 11:40:09+00:00,math.PR
A high-level model of embedded flash energy consumption,2014-04-06 17:34:23+00:00,cs.AR
On Kirchberg's Embedding Problem,2014-04-07 17:51:34+00:00,math.OA
Symplectic embeddings in infinite codimension,2014-04-09 11:10:02+00:00,math.SG
Radical-Enhanced Chinese Character Embedding,2014-04-18 07:48:02+00:00,cs.CL
Lexicon Infused Phrase Embeddings for Named Entity Resolution,2014-04-22 02:12:06+00:00,cs.CL
Extending cascading gravity model to lower dimensions,2014-04-28 20:00:22+00:00,gr-qc
Electron correlation in solids via density embedding theory,2014-06-08 22:31:27+00:00,physics.chem-ph
Affine embeddings and intersections of Cantor sets,2014-06-20 08:54:23+00:00,math.DS
"Dimension reduction techniques for $\ell_p$, $1 \le p \le 2$, with applications",2014-08-08 09:08:48+00:00,cs.CG
"Embeddings, Normal Invariants and Functor Calculus",2014-08-27 17:19:33+00:00,math.AT
